"","bear1","bear2","LLR","rel_type","pair_id","bear1_birthyear","bear2_birthyear","age_diff","bear1_sex","bear2_sex","bear1_county","bear2_county","county_difference","module","age_prior","LLR_bin"
"108","BB21_936_MTU20Oct23_R1","BB21_98_MTU18Oct23_R1",1.41,"PO_P","BB21_936_MTU20Oct23_R1_BB21_98_MTU18Oct23_R1",2020,2009,11,"Female","Male","Chippewa","Chippewa","same county","full ped","yes ap",">0"
"109","BB21_945_MTU20Oct23_R1","BB21_98_MTU18Oct23_R1",2.01,"PO_P","BB21_945_MTU20Oct23_R1_BB21_98_MTU18Oct23_R1",2019,2009,10,"Female","Male","Chippewa","Chippewa","same county","full ped","yes ap",">0"
"110","BB21_965_MTU20Oct23_R1","BB21_478_MTU20Oct23_R1",1.5,"PO_P","BB21_965_MTU20Oct23_R1_BB21_478_MTU20Oct23_R1",2019,2013,6,"Male","Male","Schoolcraft","Delta","neighboring county","full ped","yes ap",">0"
"111","BB22_1015_MTU19Oct23_R1","BB21_1388_MTU20Oct23_R1",-1.79,"PO_P","BB22_1015_MTU19Oct23_R1_BB21_1388_MTU20Oct23_R1",2021,2012,9,"Female","Male","Gogebic","Gogebic","same county","full ped","yes ap","negative"
"112","BB22_103_FullMerged_R1","BB22_709_MTU19Oct23_R1",1.84,"PO_P","BB22_103_FullMerged_R1_BB22_709_MTU19Oct23_R1",2020,2015,5,"Female","Male","Houghton","Houghton","same county","full ped","yes ap",">0"
"113","BB22_1058_MTU19Oct23_R1","BB21_1350_MTU20Oct23_R1",1.68,"PO_P","BB22_1058_MTU19Oct23_R1_BB21_1350_MTU20Oct23_R1",2021,2014,7,"Male","Male","Houghton","Baraga","neighboring county","full ped","yes ap",">0"
"114","BB22_1118_MTU18Oct23_R1","BB22_1000_MTU19Oct23_R1",1.44,"PO_P","BB22_1118_MTU18Oct23_R1_BB22_1000_MTU19Oct23_R1",2021,2006,15,"Female","Male","Baraga","Baraga","same county","full ped","yes ap",">0"
"115","BB22_114_FullMerged_R1","BB21_1064_MTU20Oct23_R1",2,"PO_P","BB22_114_FullMerged_R1_BB21_1064_MTU20Oct23_R1",2020,2014,6,"Male","Male","Ontonagon","Gogebic","neighboring county","full ped","yes ap",">0"
"116","BB22_1194_MTU18Oct23_R1","BB21_931_MTU20Oct23_R1",0.93,"PO_P","BB22_1194_MTU18Oct23_R1_BB21_931_MTU20Oct23_R1",2021,2012,9,"Male","Male","Chippewa","Luce","neighboring county","full ped","yes ap",">0"
"117","BB22_1283_MTU18Oct23_R1","BB22_28_FullMerged_R1",0.45,"PO_P","BB22_1283_MTU18Oct23_R1_BB22_28_FullMerged_R1",2020,2012,8,"Female","Male","Dickinson","Dickinson","same county","full ped","yes ap",">0"
"118","BB22_1464_MTU18Oct23_R1","BB22_11_FullMerged_R1",1.3,"PO_P","BB22_1464_MTU18Oct23_R1_BB22_11_FullMerged_R1",2021,2012,9,"Female","Male","Marquette","Marquette","same county","full ped","yes ap",">0"
"119","BB22_1600_MTU18Oct23_R1","BB21_478_MTU20Oct23_R1",1.65,"PO_P","BB22_1600_MTU18Oct23_R1_BB21_478_MTU20Oct23_R1",2021,2013,8,"Male","Male","Schoolcraft","Delta","neighboring county","full ped","yes ap",">0"
"120","BB22_163_FullMerged_R1","BB21_336_MTU18Oct23_R1",2,"PO_P","BB22_163_FullMerged_R1_BB21_336_MTU18Oct23_R1",2019,2014,5,"Female","Male","Baraga","Baraga","same county","full ped","yes ap",">0"
"121","BB22_1680_MTU18Oct23_R1","BB21_931_MTU20Oct23_R1",1.3,"PO_P","BB22_1680_MTU18Oct23_R1_BB21_931_MTU20Oct23_R1",2019,2012,7,"Female","Male","Mackinac","Luce","neighboring county","full ped","yes ap",">0"
"122","BB22_187_FullMerged_R1","BB21_418_MTU18Oct23_R1",-1.39,"PO_P","BB22_187_FullMerged_R1_BB21_418_MTU18Oct23_R1",2020,2012,8,"Male","Male","Marquette","Dickinson","neighboring county","full ped","yes ap","negative"
"123","BB22_31_FullMerged_R1","BB22_11_FullMerged_R1",1.87,"PO_P","BB22_31_FullMerged_R1_BB22_11_FullMerged_R1",2021,2012,9,"Female","Male","Marquette","Marquette","same county","full ped","yes ap",">0"
"124","BB22_367_FullMerged_R1","BB22_1446_MTU18Oct23_R1",-2.53,"PO_P","BB22_367_FullMerged_R1_BB22_1446_MTU18Oct23_R1",2021,2014,7,"Male","Male","Delta","Delta","same county","full ped","yes ap","negative"
"125","BB22_45_FullMerged_R1","BB22_709_MTU19Oct23_R1",2.13,"PO_P","BB22_45_FullMerged_R1_BB22_709_MTU19Oct23_R1",2019,2015,4,"Female","Male","Houghton","Houghton","same county","full ped","yes ap",">0"
"126","BB22_475_MTU19Oct23_R1","BB22_1446_MTU18Oct23_R1",-2.33,"PO_P","BB22_475_MTU19Oct23_R1_BB22_1446_MTU18Oct23_R1",2017,2014,3,"Male","Male","Schoolcraft","Delta","neighboring county","full ped","yes ap","negative"
"127","BB22_529_MTU19Oct23_R1","BB21_189_MTU18Oct23_R1",-0.98,"PO_P","BB22_529_MTU19Oct23_R1_BB21_189_MTU18Oct23_R1",2018,2010,8,"Female","Male","Delta","Schoolcraft","neighboring county","full ped","yes ap","negative"
"128","BB22_551_MTU19Oct23_R1","BB22_11_FullMerged_R1",-1.12,"PO_P","BB22_551_MTU19Oct23_R1_BB22_11_FullMerged_R1",2018,2012,6,"Female","Male","Menominee","Marquette","neighboring county","full ped","yes ap","negative"
"129","BB22_626_MTU19Oct23_R1","BB21_686_MTU20Oct23_R1",1.85,"PO_P","BB22_626_MTU19Oct23_R1_BB21_686_MTU20Oct23_R1",2021,2014,7,"Male","Male","Dickinson","Dickinson","same county","full ped","yes ap",">0"
"130","BB22_749_MTU19Oct23_R1","BB21_638_MTU20Oct23_R1",1.53,"PO_P","BB22_749_MTU19Oct23_R1_BB21_638_MTU20Oct23_R1",2019,2014,5,"Male","Male","Schoolcraft","Menominee","further","full ped","yes ap",">0"
"131","BB22_768_MTU19Oct23_R1","BB22_1638_MTU18Oct23_R1",1.54,"PO_P","BB22_768_MTU19Oct23_R1_BB22_1638_MTU18Oct23_R1",2020,2016,4,"Male","Male","Luce","Alger","neighboring county","full ped","yes ap",">0"
"132","BB22_83_FullMerged_R1","BB21_1388_MTU20Oct23_R1",1.42,"PO_P","BB22_83_FullMerged_R1_BB21_1388_MTU20Oct23_R1",2018,2012,6,"Male","Male","Gogebic","Gogebic","same county","full ped","yes ap",">0"
"133","BB22_871_MTU19Oct23_R1","BB21_939_MTU20Oct23_R1",1.52,"PO_P","BB22_871_MTU19Oct23_R1_BB21_939_MTU20Oct23_R1",2019,2013,6,"Male","Male","Chippewa","Chippewa","same county","full ped","yes ap",">0"
"134","BB22_877_MTU19Oct23_R1","BB21_638_MTU20Oct23_R1",-0.73,"PO_P","BB22_877_MTU19Oct23_R1_BB21_638_MTU20Oct23_R1",2021,2014,7,"Male","Male","Schoolcraft","Menominee","further","full ped","yes ap","negative"
"135","BB22_880_MTU19Oct23_R1","BB21_939_MTU20Oct23_R1",-0.78,"PO_P","BB22_880_MTU19Oct23_R1_BB21_939_MTU20Oct23_R1",2020,2013,7,"Female","Male","Chippewa","Chippewa","same county","full ped","yes ap","negative"
"136","BB22_989_MTU19Oct23_R1","BB22_1073_MTU19Oct23_R1",-4.16,"PO_P","BB22_989_MTU19Oct23_R1_BB22_1073_MTU19Oct23_R1",2021,2003,18,"Male","Male","Gogebic","Ontonagon","neighboring county","full ped","yes ap","negative"
"137","BB22_991_MTU19Oct23_R1","BB21_336_MTU18Oct23_R1",2.11,"PO_P","BB22_991_MTU19Oct23_R1_BB21_336_MTU18Oct23_R1",2020,2014,6,"Male","Male","Houghton","Baraga","neighboring county","full ped","yes ap",">0"
